,original_language,poster_path,release_date,genre_ids_x,video,original_title,id,title,vote_average,adult,vote_count,backdrop_path,popularity,overview,cast,director,keywords,genre_ids_y,name
537,en,/3UegPBLoLAnorVjXNzouiPbrPZ5.jpg,2005-05-25,"[10751, 16, 12, 35]",False,Madagascar,953,Madagaskar,6.9,False,8710,/8NCftAWfkETwrbf7QwEaDH1xpus.jpg,74.808,"Film opowiada o paczce zgranych przyjaciół: lwie - Alexie, zebrze - Marty'm, hipopotamicy - Glorii i żyrafie - Melmanie. Ich przygody rozpoczynają się za sprawą Marty'ego, który postanawia wydostać się z ogrodu i odnaleźć ową mityczną dla niego ""Dzicz"". Sam uciekając z ogrodu pociąga za sobą przyjaciół, którzy chcąc go ratować, wpadają razem w niezłe tarapaty. W rezultacie władze Ogrodu Zoologicznego postanawiając wysłać uciekinierów z powrotem do ich naturalnego środowiska - Afryki. Po drodze nasi bohaterowie wypadają ze statku i dryfując wszyscy odnajdują się u brzegów egzotycznej wyspy... Tu poznają społeczeństwo śmiesznych lemurów pod wodzą zakręconego króla. Wszystko jednak komplikuje fakt, że Alex wcale nie jest zachwycony rozpoczęciem życia z dala od wygód zoo i dodatkowo budzą się w nim prawdziwe instynkty drapieżcy...","['Ben Stiller', 'Chris Rock', 'David Schwimmer']","['Eric Darnell', 'Tom McGrath']","['africa', 'island', 'lion']","[12, 35, 16, 10751]","['Przygodowy', 'Komedia', 'Animacja', 'Familijny']"
538,de,/v7aOJKI5vxCHotHvN8O7SR6SpP6.jpg,2021-07-23,"[27, 53, 28]",False,Blood Red Sky,760883,Krwawe niebo,7.2,False,970,/e3JXvbbWNARPqMURImTALZBHVME.jpg,78.275,"Cierpiąca na tajemniczą chorobę kobieta musi ujawnić swój mroczny sekret, gdy terroryści próbują przejąć samolot, którym podróżuje ona ze swoim synkiem.","['Peri Baumeister', 'Carl Anton Koch', 'Kais Setti']",['Peter Thorwarth'],"['germany', 'vampire', 'murder']","[28, 53, 27]","['Akcja', 'Thriller', 'Horror']"
539,en,/conlM8JWEaHnIPiBqTg7ciiiLLX.jpg,2014-10-15,"[18, 12, 28]",False,10.0 Earthquake,302666,O krok od zagłady,4.9,False,80,/sMAv1YV6bCuy3lnzqXPdrCkIv7e.jpg,74.892,"Los Angeles niedługo nawiedzi niszczycielskie trzęsienie ziemi, a czas ucieka, by uratować miasto przed nieuchronnym niebezpieczeństwem.","['Chasty Ballesteros', 'Jeffrey Jones', 'Heather Sossaman']",['David Gidali'],"['sexual abuse', 'earthquake', 'stalker']","[28, 12, 18]","['Akcja', 'Przygodowy', 'Dramat']"
540,en,/nJMyNN2nSOg9FmU5fYqEjWmsH8W.jpg,1942-08-14,"[16, 18, 10751]",False,Bambi,3170,Bambi,7.0,False,4490,/cNHXm0Bv5GpatBOliHt9UdsyVFW.jpg,67.11,"Wraz z pierwszym słonecznym blaskiem poranka, oświetlającym zieloną łąkę w środku lasu nowy książę puszczy przyszedł na świat. Tak rozpoczyna się Bambi - ponadczasowa opowieść o niewinności i marzeniach, ukazująca piękno natury i nieposkromioną siłę miłości i przyjaźni.","['Donnie Dunagan', 'Peter Behn', 'Stan Alexander']",['David Hand'],"['loss of loved one', 'forest', 'deer']","[16, 10751, 18]","['Animacja', 'Familijny', 'Dramat']"
541,en,/jDOMQ0fm9A97gy9aD9vF7MEKzJA.jpg,2017-09-06,"[27, 14]",False,It,346364,To,7.2,False,15877,/tcheoA2nPATCm2vvXw2hVQoaEFD.jpg,57.818,"Kiedy w mieście Derry w stanie Maine zaczynają znikać dzieci, grupa dzieciaków musi stawić czoła swoim największym lękom. Na ich drodze staje nikczemny klaun o imieniu Pennywise, który zapisał się na kartach historii jako morderca lubujący się w zadawaniu bólu. Film oparty jest na motywach niezwykle popularnej powieści Stephena Kinga pod tym samym tytułem, która przeraża czytelników od dziesięcioleci.  [opis dystrybutora Blu-ray]","['Jaeden Martell', 'Jeremy Ray Taylor', 'Sophia Lillis']",['Andy Muschietti'],"['based on novel or book', 'small town', 'clown']","[14, 27]","['Fantasy', 'Horror']"
542,en,/6uOadrCfle0n2LOOxHbgWEdnrm2.jpg,1997-12-12,"[35, 10751]",False,Home Alone 3,9714,Alex – sam w domu,5.3,False,2319,/zG8CP8iRhLo7BNBsma6GfP6gkRF.jpg,69.641,"Ośmioletni Alex dostaje prezent - zdalnie sterowany samochód, w którym ukryto komputerowy mikrochip należący do bandytów. Kiedy przestępcy się o tym dowiadują, postanawiają odzyskać swoją własność.","['Alex D. Linz', 'Olek Krupa', 'Rya Kihlstedt']",['Raja Gosnell'],"['holiday', 'burglar', 'winter']","[35, 10751]","['Komedia', 'Familijny']"
543,en,/TpUcfmdCMPp8TK4JYqtAPrOvkW.jpg,2014-10-22,"[28, 53]",False,John Wick,245891,John Wick,7.4,False,15043,/9berBuak0aID66n4MIZTxkxzqyO.jpg,73.789,"John Wick (Keanu Reeves) był najlepszym płatnym zabójcą w USA, ale dla ukochanej żony wycofał się z biznesu. Po jej śmierci nie dane mu będzie w spokoju przeżyć żałoby. Gdy syn rosyjskiego mafiosa odbierze mu ostatnią pamiątkę po ukochanej, zemsta będzie tylko kwestią czasu. Przestępczy świat na wieść o tym, że John Wick wrócił do gry, zamiera w przerażeniu, a rosyjski mafioso wydaje na niego wyrok śmierci. Już wkrótce miasto stanie w płomieniach...  [opis dystrybutora Blu-ray]","['Keanu Reeves', 'Michael Nyqvist', 'Alfie Allen']",['Chad Stahelski'],"['hitman', 'gangster', 'russian mafia']","[28, 53]","['Akcja', 'Thriller']"
544,en,/gm32KhemALUXCxz2XZTDka0X46k.jpg,2017-05-23,"[12, 28, 14]",False,Pirates of the Caribbean: Dead Men Tell No Tales,166426,Piraci z Karaibów: Zemsta Salazara,6.6,False,9703,/7C921eWK06n12c1miRXnYoEu5Yv.jpg,71.549,"Szczęście nie sprzyja kapitanowi Jackowi Sparrowowi (Johnny Depp), a złe wiatry pchają go coraz silniej ku kolejnej awanturze. Duchy korsarzy pod wodzą jego dawnego wroga, przerażającego kapitana Salazara (Javier Bardem), wydostają się z Devil's Triangle z zamiarem unicestwienia każdego pirata, jakiego noszą oceany. Jedyną nadzieją, by uniknąć śmierci, jest dla Jacka odnalezienie legendarnego trójzębu Posejdona, który daje swojemu posiadaczowi całkowitą kontrolę nad morzami i oceanami.  [opis dystrybutora Blu-ray]","['Johnny Depp', 'Javier Bardem', 'Geoffrey Rush']","['Joachim Rønning', 'Espen Sandberg']","['sea', 'ship', 'sequel']","[28, 12, 14]","['Akcja', 'Przygodowy', 'Fantasy']"
545,en,/9VTNQlGkoBzjUeDHXeIRrE3InLm.jpg,2009-03-19,"[28, 53, 80]",False,12 Rounds,17134,12 Rund,5.9,False,573,/c2EpOiIhpMtGCnG6HyHgbpyryPd.jpg,69.612,"Gdy detektyw Danny Fisher (John Cena) z policji w Nowym Orleanie uniemożliwia genialnemu złodziejowi ucieczkę z wielomilionowym łupem, przez przypadek ginie dziewczyna przestępcy. Po ucieczce z więzienia, przepełniony chęcią zemsty, obdarzony niezwykła inteligencją i przebiegłością kryminalista wciąga Danny'ego w okrutną grę złożoną z 12 rund skomplikowanych i trudnych do wykonania zadań-zagadek, które policjant musi rozwiązać jeśli chce ocalić kobietę, którą kocha.","['John Cena', 'Aidan Gillen', 'Ashley Scott']",['Renny Harlin'],"['police', 'cop', 'revenge']","[28, 80, 53]","['Akcja', 'Kryminał', 'Thriller']"
546,en,/n5Re2ywnpqwAXTin8W5j3lqSwc7.jpg,2007-08-25,"[27, 53]",False,Wrong Turn 2: Dead End,13186,Droga bez powrotu 2,6.0,False,949,/o2SeAw8ARPB1D8oudCRJcxW3w60.jpg,66.587,"Dale Murphy jest gospodarzem oraz producentem swojego własnego programu w Reality TV nazwanego ""The Ultimate Survalist"" (Ostatni ocalały). Weźmie w nim udział 6 zawodników, którzy zostaną wyrzuceni razem na 6 dni na apokaliptycznie symulowanym stanowisku, znajdującym się na niezagospodarowanym terenie. Ulokowany jest w odległej części zachodniej Virgini, gdzie zawodnicy odkryją, że naprawde muszą walczyć o przeżycie - przeciwko rodzinie paskudnie zdeformowanych endogamicznie kanibali, którzy planują bezwzględnie ich zmasakrować.","['Henry Rollins', 'Erica Leerhsen', 'Texas Battle']",['Joe Lynch'],"['competition', 'dynamite', 'forest']","[53, 27]","['Thriller', 'Horror']"
