,original_language,poster_path,release_date,genre_ids_x,video,original_title,id,title,vote_average,adult,vote_count,backdrop_path,popularity,overview,cast,director,keywords,genre_ids_y,name
0,en,/pZe4xYwDkmxhf3oA8DNEihOW4pW.jpg,2021-09-30,"[878, 28, 12]",False,Venom: Let There Be Carnage,580489,Venom 2: Carnage,7.2,False,4025,/lNyLSOKMMeUPr1RsL4KcRuIXwHt.jpg,12506.888,"Po znalezieniu ciała gospodarza u reportera śledczego Eddiego Brocka, obcy symbiont musi stawić czoła nowemu wrogowi, Carnage, alter ego seryjnego mordercy Cletusa Kasady.","['Tom Hardy', 'Woody Harrelson', 'Michelle Williams']",['Andy Serkis'],"['hero', 'anti hero', 'villain']","[878, 28, 12]","['Sci-Fi', 'Akcja', 'Przygodowy']"
1,en,/lUyYcx7DR06oAFBwLaxOObJn2lW.jpg,2021-11-04,"[28, 35, 80, 53]",False,Red Notice,512195,Czerwona nota,6.8,False,1788,/5uVhMGsps81CN0S4U9NF0Z4tytG.jpg,3819.259,"Gdy Interpol wystawia czerwoną notę - globalny list gończy za najbardziej poszukiwanymi przestępcami na świecie - do akcji wkracza najlepszy behawiorysta z FBI John Hartley. W czasie pościgu przypadkiem trafia w sam środek brawurowego skoku. Aby złapać najgroźniejszego złodzieja dzieł sztuki na świecie znanego jako ""The Bishop"", musi współpracować z jego rywalem Nolanem Boothem. Szalona przygoda rzuci to - ku niezadowoleniu niektórych - nierozłączne trio w najdalsze zakątki świata, na parkiet taneczny, do więzienia i do dżungli. ""Czerwona nota"" to stylowa, brawurowa gra w kotka i myszkę (i kotka).","['Dwayne Johnson', 'Ryan Reynolds', 'Gal Gadot']",['Rawson Marshall Thurber'],"['fbi', 'interpol', 'heist']","[28, 35, 80, 53]","['Akcja', 'Komedia', 'Kryminał', 'Thriller']"
2,en,/ygPTrycbMSFDc5zUpy4K5ZZtQSC.jpg,2021-11-10,"[16, 35, 10751]",False,Clifford the Big Red Dog,585245,Clifford. Wielki czerwony pies,7.6,False,407,/zBkHCpLmHjW2uVURs5uZkaVmgKR.jpg,3975.734,"Ośmioletnia dziewczynka, Emily Elizabeth marzy o tym, aby jej maleńki, czerwony szczeniak urósł i był silny, nie spodziewa się jednak, że budząc się pewnego ranka znajdzie wielkiego psa w swoim małym mieszkaniu w Nowym Jorku. Emily za wszelką cenę chce, aby ukochany zwierzak został z nią. Postanawia znaleźć czarodzieja, który, przywróci Clifforda do normalnego rozmiaru. Na poszukiwania udaje się ze swoim wujem Caseyem i szkolnym kolegą Owenem. Clifford wzbudza powszechne zaciekawienie. Przyciąga również uwagę złego naukowca, który chce aby Clifford został jego psem.","['Darby Camp', 'Jack Whitehall', 'Izaac Wang']",['Walt Becker'],"['based on novel or book', 'giant dog']","[35, 16, 10751]","['Komedia', 'Animacja', 'Familijny']"
3,en,/aNRsP3d6UYrbO1XxGE0zYBZUihq.jpg,2021-09-01,"[28, 12, 14]",False,Shang-Chi and the Legend of the Ten Rings,566525,Shang-Chi i legenda dziesięciu pierścieni,7.9,False,3979,/cinER0ESG0eJ49kXlExM0MEWGxW.jpg,3592.182,"Sierota obdarzony specjalnymi mocami,  wychowany w szkole dla wyjątkowych dzieci prowadzonej przez Mandaryna , całe życie przygotowywał się do turnieju, w którym wezmą udział najwięksi mistrzowie sztuk walki. Zwycięzca otrzyma dziesięć pierścieni, które umożliwiają władzę nad żywiołami.","['Simu Liu', 'Tony Leung Chiu-wai', 'Awkwafina']",['Destin Daniel Cretton'],"['martial arts', 'superhero', 'based on comic']","[28, 12, 14]","['Akcja', 'Przygodowy', 'Fantasy']"
4,ru,/gIms8eHt9I7Cp6DWEaJUOYHmMWZ.jpg,2021-04-15,"[18, 36, 12]",False,Чернобыль,589761,Czarnobyl 1986,6.2,False,223,/xGrTm3J0FTafmuQ85vF7ZCw94x6.jpg,3533.029,Strażak Aleksiej odnajduje dawną miłość i przechodzi na emeryturę. Jednak jego spokojne życie wkrótce zakłóca tragiczna katastrofa w Czarnobylu.,"['Danila Kozlovsky', 'Oksana Akinshina', 'Philip Avdeev']",['Danila Kozlovsky'],['chernobyl'],"[12, 18, 36]","['Przygodowy', 'Dramat', 'Historyczny']"
5,en,/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,2021-12-15,"[28, 12, 878]",False,Spider-Man: No Way Home,634649,Spider-Man: Bez drogi do domu,0.0,False,0,/VlHt27nCqOuTnuX6bku8QZapzO.jpg,2372.215,"Po raz pierwszy w kinowej historii Spider-Mana nasz przyjazny bohater z sąsiedztwa zostaje zdemaskowany i nie jest już w stanie oddzielić swojego normalnego życia od wysokiej stawki bycia superbohaterem. Kiedy prosi o pomoc Doktora Strange'a, stawka staje się jeszcze bardziej niebezpieczna, zmuszając go do odkrycia, co to naprawdę znaczy być Spider-Manem.","['Tom Holland', 'Zendaya', 'Benedict Cumberbatch']",['Jon Watts'],"['hero', 'comic book', 'superhero']","[878, 28, 12]","['Sci-Fi', 'Akcja', 'Przygodowy']"
6,en,/h7pYFSrhA21DcJS43h26LvHSgtR.jpg,2021-09-29,"[12, 28, 53]",False,No Time to Die,370172,Nie czas umierać,7.5,False,2390,/r2GAjd4rNOHJh6i6Y0FntmYuPQW.jpg,1775.597,"James Bond opuszcza czynną służbę i cieszy się spokojnym życiem na Jamajce. Tymczasem jednak jego stary przyjaciel Felix Leiter z CIA zwraca się do niego o pomoc. Misja uratowania porwanego naukowca okazuje się o wiele bardziej zdradliwa, niż mogłoby się wydawać i naprowadza agenta 007 na ślad tajemniczego złoczyńcy, dysponującego nową, niezwykle niebezpieczną technologią.","['Daniel Craig', 'Rami Malek', 'Léa Seydoux']",['Cary Joji Fukunaga'],"['spy', 'british secret service', 'nanobots']","[28, 12, 53]","['Akcja', 'Przygodowy', 'Thriller']"
7,ru,/h6WSdu91WembH619okLty4Et8uW.jpg,2021-02-11,"[10749, 27, 53]",False,Приворот. Чёрное венчание,633802,Mroczne zaklęcie,7.3,False,40,/o2OSpKzXuB1edCDyVC2MXAxXwyJ.jpg,1639.127,"Dark Spell opowiada o młodej kobiecie, która jest zdruzgotana po odejściu męża. Więc poznaje kogoś, kto może przywrócić jej wymarzonego mężczyznę za pomocą czarnej magii i demonicznej ceremonii. Ale za wysoką cenę.","['Yana Enzhaeva', 'Konstantin Beloshapka', 'Ilya Ermolov']",['Svyatoslav Podgaevsky'],"['black magic', 'spell', 'demonic ceremony']","[53, 10749, 27]","['Thriller', 'Romans', 'Horror']"
8,en,/6AdXwFTRTAzggD2QUTt5B7JFGKL.jpg,2021-11-03,"[28, 12, 878, 18]",False,Eternals,524434,Eternals,7.1,False,1348,/lyvszvJJqqI8aqBJ70XzdCNoK0y.jpg,1527.452,"Eternals to zespół starożytnych kosmitów, którzy żyją w tajemnicy na Ziemi od tysięcy lat. Kiedy niespodziewana tragedia wyprowadza ich z cienia, są zmuszeni ponownie zjednoczyć się przeciwko najstarszemu wrogowi ludzkości, Deviantom.","['Gemma Chan', 'Richard Madden', 'Angelina Jolie']",['Chloé Zhao'],"['boredom', 'supernatural', 'superhero']","[878, 28, 12, 18]","['Sci-Fi', 'Akcja', 'Przygodowy', 'Dramat']"
9,en,/jKuDyqx7jrjiR9cDzB5pxzhJAdv.jpg,2021-11-04,"[878, 18, 12]",False,Finch,522402,Finch,8.2,False,1343,/oE6bhqqVFyIECtBzqIuvh6JdaB5.jpg,1392.921,"Akcja filmu rozgrywa się na postapokaliptycznej Ziemi, na której robot, zbudowany aby chronić życie ukochanego psa umierającego stwórcy, dowiaduje się o życiu, miłości, przyjaźni i co to znaczy być człowiekiem.","['Tom Hanks', 'Caleb Landry Jones', 'Oscar Avila']",['Miguel Sapochnik'],"['robot', 'journey', 'humanity']","[878, 12, 18]","['Sci-Fi', 'Przygodowy', 'Dramat']"
10,en,/1sRejtiHOZGggZd9RcmdqbapLM5.jpg,2021-11-25,"[10751, 12, 14]",False,A Boy Called Christmas,615666,Chłopiec zwany Gwiazdką,8.1,False,160,/odKqOY6VE6C59YAdGHB0b5Havye.jpg,1486.795,"Chłopiec o imieniu Nikolas wyrusza na zaśnieżoną Północ, aby odnaleźć swojego ojca, który szuka legendarnej wioski elfów. Towarzyszą mu uparty renifer i udomowiona myszka. W tej magicznej, zabawnej i wzruszającej opowieści, która dowodzi, że nie ma rzeczy niemożliwych, Nikolas znajduje swoje przeznaczenie.","['Henry Lawfull', 'Kristen Wiig', 'Michiel Huisman']",['Gil Kenan'],"['holiday', 'christmas']","[12, 10751, 14]","['Przygodowy', 'Familijny', 'Fantasy']"
11,en,/gII53HAH7UA1yx189vROMzWA5ib.jpg,2021-11-04,"[10752, 36, 18]",False,Amina,885110,Amina,6.8,False,41,/4EJSMQOM1bZPHvzqAQe87suBxdf.jpg,1424.817,"W XVI-wiecznym Zazzau, obecnie Zarii w Nigerii, Amina musi wykorzystać swoje umiejętności wojskowe i taktykę, aby bronić królestwa swojej rodziny. Oparte na prawdziwej historii.","['Lucy Ameh', 'Ali Nuhu', 'Clarion Chukwurah-Abiola']",['Izu Ojukwu'],"['gore', 'fear', 'violence']","[18, 36, 10752]","['Dramat', 'Historyczny', 'Wojenny']"
12,en,/4gGjRYdqINQG2CjYQoYMy9sAQBH.jpg,2021-09-15,"[878, 12]",False,Dune,438631,Diuna,8.0,False,4564,/Aebz7s8EHQXxHR98J8Vw6QVGggq.jpg,1221.81,"Diuna to pustynna planeta.  To jedyne takie miejsce we wszechświecie, gdzie wydobywa się melanż - substancję, która nie tylko przedłuża życie, ale pozwala również podróżować po całym uniwersum, a nawet w przyszłość. Na rozkaz imperatora Diuna, znana również pod nazwą Arrakis, zostaje oddana we władanie szlachetnemu rodowi Atrydów. By przejąć lenno, na planetę przybywa Duke Leto Atreides, lady Jessika oraz ich syn, Paul. Nie znają jednak planów Harkonnenów, którzy nie zamierzają oddać Diuny swoim wrogom. Przecież ten kto włada planetą, ten włada całym wszechświatem.","['Timothée Chalamet', 'Rebecca Ferguson', 'Oscar Isaac']",['Denis Villeneuve'],"['prophecy', 'based on novel or book', 'emperor']","[878, 12]","['Sci-Fi', 'Przygodowy']"
13,en,/xmbU4JTUm8rsdtn7Y3Fcm30GpeT.jpg,2021-08-11,"[35, 28, 12, 878]",False,Free Guy,550988,Free Guy,7.8,False,3966,/8Y43POKjjKDGI9MH89NW0NAzzp8.jpg,1336.086,"Guy to przeciętny urzędnik bankowy, który zupełnie przez przypadek odkrywa, że jest drugoplanowym graczem w otwartej grze wideo. W rzeczywistości pozbawionej ograniczeń postanawia wziąć sprawy w swoje ręce, ocalić swój świat i zostać bohaterem według własnego scenariusza!","['Ryan Reynolds', 'Jodie Comer', 'Joe Keery']",['Shawn Levy'],"['video game', 'gun', 'hero']","[878, 28, 12, 35]","['Sci-Fi', 'Akcja', 'Przygodowy', 'Komedia']"
14,en,/chTkFGToW5bsyw3hgLAe4S5Gt3.jpg,2021-11-12,"[28, 53, 878]",False,Apex,763164,Apex,5.6,False,245,/4gKxQIW91hOTELjY5lzjMbLoGxB.jpg,1291.699,"Grupa myśliwych płaci za elitarne polowanie na bezludnej wyspie – łowy na człowieka. Wszystko idzie zgodnie z planem do chwili, gdy to myśliwi stają się “zwierzyną”. Były policjant Thomas Malone ( Bruce Willis ) odsiaduje dożywocie za przestępstwo, którego nie popełnił. Otrzymuje szansę odzyskania wolności, jeśli przeżyje śmiertelną grę, w której grupa myśliwych płaci za przyjemność polowania na innego człowieka na odległej wyspie. Malone akceptuje zasady, a kiedy przybywa na miejsce, rozpętuje piekło, zastawiając pułapki i prowadząc ze swoimi prześladowcami psychologiczną wojnę.","['Neal McDonough', 'Bruce Willis', 'Alexia Fast']",['Edward Drake'],"['prisoner', 'hologram', 'hunting human beings']","[878, 28, 53]","['Sci-Fi', 'Akcja', 'Thriller']"
15,hi,/oP4zj8B2xJWLjeWwN9N9DQdFvdo.jpg,2021-11-19,"[53, 18, 80]",False,धमाका,767377,Dhamaka,7.1,False,26,/lNnnhBxQESk0WbUXNeh24Dx8XA7.jpg,1241.107,"Cyniczny były prezenter wiadomości odbiera na antenie radia telefon, który jest dla niego szansą na wielki powrót do telewizji. Jednak sukces może go dużo kosztować.","['Kartik Aaryan', 'Amruta Subhash', 'Mrunal Thakur']",['Ram Madhvani'],"['remake', 'film adaptation']","[80, 53, 18]","['Kryminał', 'Thriller', 'Dramat']"
16,en,/fC2VANkgaN68f7eytyt9Lz9aSlS.jpg,2021-10-13,"[28, 18, 36]",False,The Last Duel,617653,Ostatni Pojedynek,7.7,False,673,/mFbS5TwN95BcSEfiztdchLgTQ0v.jpg,1080.909,"Wytwórnia 20th Century Studios i reżyser-wizjoner Ridley Scott przedstawiają ""Ostatni pojedynek"" - trzymającą w napięciu opowieść o zdradzie i zemście, rozgrywającą się w brutalnej scenerii czternastowiecznej Francji. Ta oparta na autentycznych wydarzeniach historyczna epopeja obala przekonania na temat ostatniego pojedynku sądowego pomiędzy Jeanem de Carrouges i Jacquesem Le Gris - dwoma przyjaciółmi, którzy stali się zaciekłymi rywalami.","['Matt Damon', 'Adam Driver', 'Jodie Comer']",['Ridley Scott'],"['based on novel or book', 'normandy, france', 'based on a true story']","[28, 18, 36]","['Akcja', 'Dramat', 'Historyczny']"
17,ja,/gtiNyP9BoQmPzjeDhvofUtUxpJV.jpg,2021-07-02,"[16, 28]",False,劇場版 七つの大罪 光に呪われし者たち,843241,Siedem grzechów głównych: Przeklęty przez światło,8.1,False,237,/7h5WAPAcUzOWpp2jrwHBB48790j.jpg,1019.602,"Z pomocą „Smoczego Grzechu Gniewu” Meliodasa i najgorszych buntowników w historii, Siedmiu Grzechów Głównych, „Świętej Wojnie”, w której cztery rasy, w tym Ludzie, Boginie, Wróżki i Giganci walczyli z Demonami, dobiega końca. nad. Kosztem życia „Lwiego grzechu dumy” Escanora, Król Demonów został pokonany, a świat odzyskał pokój. Następnie każdy z Grzechów kroczy własną ścieżką.","['Yuki Kaji', 'Sora Amamiya', 'Misaki Kuno']",['Takayuki Hamana'],"['magic', 'sequel', 'anime']","[28, 16]","['Akcja', 'Animacja']"
18,ja,/m9cn5mhW519QKr1YGpGxNWi98VJ.jpg,2020-10-16,"[16, 28, 12, 14]",False,劇場版「鬼滅の刃」無限列車編,635302,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.4,False,1901,/xPpXYnCWfjkt3zzE0dpCNME1pXF.jpg,1014.366,"Tanjirō Kamado, wraz z Inosuke Hashibirą, chłopcem wychowanym przez dziki, który nosi głowę dzika, oraz Zenitsu Agatsuma, przestraszonym chłopcem, który ujawnia swoją prawdziwą moc podczas snu, wsiadają do Pociągu Nieskończoności na nową misję z Ognistą Hashirą, Kyōjurō Rengoku, aby pokonać demona, który dręczył ludzi i zabijał pogromców demonów, którzy się mu sprzeciwiali!","['Natsuki Hanae', 'Akari Kito', 'Hiro Shimono']",['Haruo Sotozaki'],"['fight', 'magic', 'psychology']","[28, 12, 16, 14]","['Akcja', 'Przygodowy', 'Animacja', 'Fantasy']"
19,pt,/5dCIBGXnIuPdP1gmlElEDMTcIGT.jpg,2021-10-22,"[18, 80]",False,7 Prisioneiros,785538,7 więźniów,7.3,False,124,/pKgfWzxOpvGV3MQ0kLjLdjKAzUe.jpg,1013.084,Ubogi nastolatek usiłujący wyrwać się spod władzy handlarza ludźmi musi dokonać wyboru między postępowaniem zgodnie z sumieniem a walką o przetrwanie.,"['Christian Malheiros', 'Rodrigo Santoro', 'Bruno Rocha']",['Alexandre Moratto'],"['human trafficking', 'sao paulo, brazil']","[80, 18]","['Kryminał', 'Dramat']"
20,en,/vs4VZIMQ1h4eFtkMbGOYUugfLgT.jpg,2021-11-12,"[10751, 35]",False,Home Sweet Home Alone,654974,Nareszcie sam w domu,5.5,False,219,/a8tH0jl37366bLVyPB08dncgqqd.jpg,948.796,"Max Mercer, psotny i zaradny młody chłopak, został porzucony, gdy jego rodzina jest w Japonii na święta. Kiedy więc małżeństwo, które próbuje odzyskać bezcenną pamiątkę, kieruje swój wzrok na dom rodziny Mercerów, Max musi chronić go przed intruzami, a on zrobi wszystko, aby ich powstrzymać. Ponowne uruchomienie obiecuje zabawne hijinky o epickich proporcjach i pomimo absolutnego chaosu, Max w końcu uświadamia sobie, że tak naprawdę nie ma miejsca, jak w domu, słodkim domu.","['Ellie Kemper', 'Rob Delaney', 'Archie Yates']",['Dan Mazer'],"['holiday', 'home alone', 'christmas spirit']","[35, 10751]","['Komedia', 'Familijny']"
21,en,/qzka8w5l1NtzD5vPmgeCVCdmlqs.jpg,2021-09-01,"[10749, 18]",False,After We Fell,744275,After. Ocal mnie,7.2,False,1076,/lV3UFPPxDIPelh46G9oySXN9Mcz.jpg,926.537,"Tessa staje przed najtrudniejszą decyzją w życiu. Właśnie, gdy jej związek z Hardinem rozkwita na nowo, dziewczyna otrzymuje propozycję, która może otworzyć przed nią drzwi do wielkiej kariery. Warunkiem jest przeprowadzka na drugi koniec kraju. Hardin jest temu przeciwny, ale Tessa wie, że taka szansa może się nie powtórzyć. Jej decyzja o wyjeździe to cios dla ich uczucia. Szczególnie, że oboje mierzą się z szokującymi rodzinnymi tajemnicami, które stawiają pod znakiem zapytania wszystko, w co dotąd wierzyli. Gdy Hardin szaleje z zazdrości, Tessa znajduje oparcie w przystojnym nowym przyjacielu. Czy to na pewno tylko przyjaźń?","['Josephine Langford', 'Hero Fiennes Tiffin', 'Louise Lombard']",['Castille Landon'],"['based on novel or book', 'family history', 'love']","[18, 10749]","['Dramat', 'Romans']"
22,en,/5YwaISdOwp8Zu6O7kwBeUn8a7Pu.jpg,2021-11-25,"[10751, 35]",False,8-Bit Christmas,802217,8-Bit Christmas,6.6,False,67,/vr6TqnRLcZACo9htfcmBUcjs2t4.jpg,895.425,Akcja rozgrywa się na przedmieściach Chicago w latach 80. XX wieku i śledzi dziesięcioletniego chłopca o imieniu Jake Doyle i jego epickie poszukiwanie najlepszego systemu gier wideo – Nintendo Entertainment System.,"['Neil Patrick Harris', 'Winslow Fegley', 'June Diane Raphael']",['Michael Dowse'],"['holiday', 'video game', 'suburban chicago']","[35, 10751]","['Komedia', 'Familijny']"
23,en,/yEunJcOO74PT9ghWwpJFa1ifoEF.jpg,2012-06-23,"[28, 12, 14]",False,The Amazing Spider-Man,1930,Niesamowity Spider-Man,6.6,False,13696,/sLWUtbrpiLp23a0XDSiUiltdFPJ.jpg,687.488,"Nowa obsada, nowy reżyser, nowa historia. Czy zupełnie nowe podejście do najbardziej kasowego komiksu wszech czasów się powiedzie? Jak widać na przykładzie serii o Bondzie, odświeżenie tematu może okazać się wielkim sukcesem. Peter Parker tym razem uczy się jeszcze w liceum. Musi pogodzić się z tym, kim się stał, i wybaczyć sobie śmierć wuja, którego – tak mu się wydaje – mógł uratować.","['Andrew Garfield', 'Emma Stone', 'Rhys Ifans']",['Marc Webb'],"['loss of loved one', 'experiment', 'vigilante']","[28, 12, 14]","['Akcja', 'Przygodowy', 'Fantasy']"
24,en,/gA9QxSravC2EVEkEKgyEmDrfL0e.jpg,2021-10-15,"[16, 878, 10751, 35]",False,Ron's Gone Wrong,482321,Ron Usterka,8.7,False,236,/38hC0dk5rSeuHAk7CnprvyTNJlB.jpg,1133.251,"Barney jako jedyny w szkole nie ma przyjaciela ani jego namiastki - podręcznego robota. Dostaje go wreszcie na urodziny, ale wadliwego, co powoduje masę niespodziewanych problemów.","['Zach Galifianakis', 'Jack Dylan Grazer', 'Ed Helms']","['Sarah Smith', 'Jean-Philippe Vine']","['family', 'best friend forever']","[878, 35, 16, 10751]","['Sci-Fi', 'Komedia', 'Animacja', 'Familijny']"
25,en,/zPrhaOk5q3KCeuVZw844rPMCmBb.jpg,2021-10-22,[37],False,The Harder They Fall,618162,Zemsta rewolwerowca,6.8,False,398,/d0mpUFKzoPwF1KsdjHpkkaYSvKm.jpg,805.873,"Kiedy bandyta Nat Love dowiaduje się, że jego wróg, Rufus Buck wychodzi z więzienia, zbiera swój gang, żeby się zemścić. Wśród jego kompanów znajduje się jego była kochanka, Stagecoach Mary, jego dwaj pomagierzy - krewki Bill Pickett i szybkoręki Jim Beckwourth - oraz były oponent, a teraz zaskakujący sojusznik. Rufus Buck też ma silną ekipę, która nie zna słowa ""przegrana"" - towarzyszą mu między innymi ""Zdradliwa"" Trudy Smith i Cherokee Bill.","['Jonathan Majors', 'Idris Elba', 'Regina King']",['Jeymes Samuel'],"['prison', 'release from prison', 'revenge']",[37],['Western']
26,es,/ySYXzjfJfHfn7nYdTYx15UiHNjN.jpg,2021-10-08,"[53, 80, 28, 12]",False,Las leyes de la frontera,776821,Buntownicy,6.9,False,50,/vJ3ED2jPblACDqaJPZlbN6T1yjy.jpg,780.903,"Girona, lato 1978. Zakochany nastolatek, który często padał ofiarą rówieśniczej przemocy, dołącza do paczki, która spędza czas na włamaniach, napadach i szalonej miłości.","['Marcos Ruiz', 'Begoña Vargas', 'Chechu Salgado']",['Daniel Monzón'],"['robbery', 'based on novel or book', '1970s']","[28, 12, 80, 53]","['Akcja', 'Przygodowy', 'Kryminał', 'Thriller']"
27,en,/zexwctPjMKd4HDvjOtaSWOwECug.jpg,2021-07-01,"[16, 35, 12, 10751]",False,The Boss Baby: Family Business,459151,Rodzinka rządzi,7.7,False,1637,/akwg1s7hV5ljeSYFfkw7hTHjVqk.jpg,674.275,"Bracia Templeton — Tim i jego młodszy braciszek Ted — stali się dorosłymi i oddalili się od siebie. Ale nowe dziecko szefa z nowatorskim podejściem i nastawieniem na coś, co można zrobić, wkrótce ich ponownie połączy… i zainspiruje nową rodzinną firmę.","['Alec Baldwin', 'James Marsden', 'Amy Sedaris']",['Tom McGrath'],"['baby', 'sequel', 'family']","[12, 35, 16, 10751]","['Przygodowy', 'Komedia', 'Animacja', 'Familijny']"
28,en,/b3U7URnAn1gOVYFGAtZwvafGGFz.jpg,2021-07-22,"[28, 12]",False,Snake Eyes: G.I. Joe Origins,568620,Snake Eyes: Geneza G.I.Joe,6.8,False,860,/2OFg5p9yarI5zZsUWKCRgBgPctj.jpg,745.813,"Snake Eyes zostaje przyjęty do starożytnego japońskiego klanu zwanego Arashikage po uratowaniu życia ich następcy.  Po przybyciu do Japonii Arashikage uczy Snake jak zostać wojownikiem ninja, zapewniając jednocześnie coś, za czym tęsknił: dom.  Ale kiedy tajemnice z jego przeszłości zostaną ujawnione, honor i lojalność Snake Eyes zostaną wystawione na próbę  – nawet jeśli oznacza to utratę zaufania najbliższych.","['Henry Golding', 'Andrew Koji', 'Haruka Abe']",['Robert Schwentke'],"['prequel', 'based on comic', 'based on cartoon']","[28, 12]","['Akcja', 'Przygodowy']"
29,en,/2lY3hLaHnMhsOSZxOhefzyhcE7x.jpg,2017-07-05,"[28, 12, 878, 18]",False,Spider-Man: Homecoming,315635,Spider-Man: Homecoming,7.4,False,17268,/tTlAA0REGPXSZPBfWyTW9ipIv1I.jpg,643.826,"Młody Peter Parker / Spider-Man (Tom Holland), który zadebiutował w filmie ""Kapitan Ameryka: Wojna bohaterów"", zaczyna rozumieć i kontrolować nowo odkrytą tożsamość super bohatera. Po wstrząsających doświadczeniach z Avengersami, Peter wraca do domu do cioci May (Marisa Tomei) i pod czujne oko swego nowego mentora Tony'ego Starka (Robert Downey Jr.). Mimo że stara się wieść normalne życie, to jednak nie potrafi pozbyć się myśli, że jest jednak kimś więcej niż Spider-Manem z sąsiedztwa. Tymczasem pojawia się Vulture (Michael Keaton), groźny wróg, który zagraża wszystkiemu, co dla Petera jest ważne.  [opis dystrybutora dvd]","['Tom Holland', 'Michael Keaton', 'Robert Downey Jr.']",['Jon Watts'],"['new york city', 'washington dc, usa', 'high school']","[878, 28, 12, 18]","['Sci-Fi', 'Akcja', 'Przygodowy', 'Dramat']"
30,en,/jMZIJ5PXTt1bbJ0AZ8sdsVwOq3n.jpg,2021-10-27,"[28, 80, 53]",False,Army of Thieves,796499,Armia złodziei,6.9,False,851,/mu8RKavbv7Ml48twHQ6XVk7zw8e.jpg,703.411,"W prequelu Armii umarłych Zacka Snydera, Dieter, kasjer z małego miasteczka, zostaje wciągnięty w przygodę życia, gdy tajemnicza kobieta rekrutuje go do grupy najbardziej poszukiwanych przez Interpol przestępców, próbujących napaść na kilka legendarnych, niemożliwych do złamania sejfów w całej Europie.","['Matthias Schweighöfer', 'Nathalie Emmanuel', 'Ruby O. Fee']",['Matthias Schweighöfer'],"['europe', 'interpol', 'prequel']","[28, 80, 53]","['Akcja', 'Kryminał', 'Thriller']"
31,en,/1qamhFbRGHicXz7hAzcsOnKVyFL.jpg,2021-10-21,"[27, 9648, 53]",False,Last Night in Soho,576845,Ostatniej nocy w Soho,7.5,False,677,/7OcRErUXXdAVAHg6y5cjn56ivtu.jpg,703.024,"Zafascynowana modą młoda dziewczyna  przenosi się do lat 60. i spotyka swoją idolkę - oszałamiającą początkującą piosenkarkę. Ale Londyn lat 60. nie jest tym, czym się wydaje.","['Thomasin McKenzie', 'Anya Taylor-Joy', 'Matt Smith']",['Edgar Wright'],"['london, england', 'go-go dancer', 'nightmare']","[53, 27, 9648]","['Thriller', 'Horror', 'Tajemnica']"
32,en,/1lQqIQt8ou3a5EzeF2G9YzqGN7E.jpg,2019-06-28,"[28, 12, 878]",False,Spider-Man: Far From Home,429617,Spider-Man: Daleko od domu,7.5,False,11128,/ng6SSB3JhbcpKTwbPDsRwUYK8Cq.jpg,960.999,"Peter Parker powraca jako Spider-Man w nowym filmie ""Spider-Man: Daleko od domu"". Nasz superbohater z sąsiedztwa przyłącza się do swych najlepszych przyjaciół – Neda, MJ i reszty, by wspólnie wyruszyć na europejskie wakacje. A jednak plan porzucenia wcielenia Spider-Mana na kilka tygodni nie udaje się, kiedy Peter – z wielkimi oporami – decyduje się pomóc Nickowi Fury’emu odkryć sekret tajemniczych ataków, które pustoszą kontynent.","['Tom Holland', 'Samuel L. Jackson', 'Jake Gyllenhaal']",['Jon Watts'],"['venice, italy', 'europe', 'school trip']","[878, 28, 12]","['Sci-Fi', 'Akcja', 'Przygodowy']"
33,en,/7iwjsK4MI3a8yiITcnXcKY9WxlZ.jpg,2021-05-19,"[28, 80, 53]",False,F9,385128,Szybcy i wściekli 9,7.4,False,4501,/gGTCDNEvwG848u34Op1nZNALLUr.jpg,615.401,"Dominic prowadzi spokojne życie z Letty i ze swoim synem Brianem. Jednak nadal czyhają na niego różne niebezpieczeństwa. Tym razem Dominic będzie musiał zmierzyć się z duchami własnej przeszłości. Jego ekipa znów połączy siły, żeby pokonać wroga - doskonałego kierowcę Jacoba Toretto, który jest bratem Dominica skłóconym z nim od wielu lat.","['Vin Diesel', 'Michelle Rodriguez', 'Tyrese Gibson']",['Justin Lin'],"['speed', 'sequel', 'family relationships']","[28, 80, 53]","['Akcja', 'Kryminał', 'Thriller']"
